catalog_id,list_id,item_id,list_name,sku,product_name,shop_id,mis_item_id,size
32877,54139,428629,PRJERSEY,17523FJRPLAR10BL,SW11427PB PRJERSEY 17523FJRPLAR10BL - LOS ANGELES RAMS JERSEY PRINT COOPER KUPP BLUE PROOF 17.5x23,SW11427PB,197-3,17.5x23
32877,54139,426161,PRJERSEY,1218FJRPLAR10WH,SW11428PA PRJERSEY 1218FJRPLAR10WH - LOS ANGELES RAMS JERSEY PRINT COOPER KUPP WHITE PROOF 12x18,SW11428PA,197-2,12x18
32877,54139,428630,PRJERSEY,17523FJRPLAR10WH,SW11428PB PRJERSEY 17523FJRPLAR10WH - LOS ANGELES RAMS JERSEY PRINT COOPER KUPP WHITE PROOF 17.5x23,SW11428PB,197-3,17.5x23
32877,54139,426162,PRJERSEY,1218FJRPLAR17WH,SW11429PA PRJERSEY 1218FJRPLAR17WH - LOS ANGELES RAMS JERSEY PRINT PUKA NACUA WHITE PROOF 12x18,SW11429PA,197-2,12x18
32877,54139,428631,PRJERSEY,17523FJRPLAR17WH,SW11429PB PRJERSEY 17523FJRPLAR17WH - LOS ANGELES RAMS JERSEY PRINT PUKA NACUA WHITE PROOF 17.5x23,SW11429PB,197-3,17.5x23
32877,54139,426163,PRJERSEY,1218FJRPLAR99BL,SW11430PA PRJERSEY 1218FJRPLAR99BL - LOS ANGELES RAMS JERSEY PRINT AARON DONALD BLUE PROOF 12x18,SW11430PA,197-2,12x18
32877,54139,428632,PRJERSEY,17523FJRPLAR99BL,SW11430PB PRJERSEY 17523FJRPLAR99BL - LOS ANGELS RAMS JERSEY AARON DONALD BLUE PROOF 17.5x23,SW11430PB,197-3,17.5x23
32877,54139,426164,PRJERSEY,1218FJRPLAR99WH,SW11431PA PRJERSEY 1218FJRPLAR99WH - LOS ANGELES RAMS JERSEY PRINT AARON DONALD WHITE PROOF 12x18,SW11431PA,197-2,12x18
32877,54139,428633,PRJERSEY,17523FJRPLAR99WH,SW11431PB PRJERSEY 17523FJRPLAR99WH - LOS ANGELES RAMS JERSEY PRINT AARON DONALD WHITE PROOF 17.5x23,SW11431PB,197-3,17.5x23
32877,54139,426165,PRJERSEY,1218FJRPLVR17BK,SW11432PA PRJERSEY 1218FJRPLVR17BK - LAS VEGARTS RAIDERS JERSEY PRINT DAVANTE ADAMS BLACK PROOF 12x18,SW11432PA,197-2,12x18
32877,54139,428634,PRJERSEY,17523FJRPLVR17BK,SW11432PB PRJERSEY 17523FJRPLVR17BK - LAS VEGARTS RAIDERS JERSEY PRINT DAVANTE ADAMS BLACK PROOF 17.5x23,SW11432PB,197-3,17.5x23
32877,54139,426166,PRJERSEY,1218FJRPLVR17WH,SW11433PA PRJERSEY 1218FJRPLVR17WH - LAS VEGARTS RAIDERS JERSEY PRINT DAVANTE ADAMS WHITE PROOF 12x18,SW11433PA,197-2,12x18
32877,54139,428635,PRJERSEY,17523FJRPLVR17WH,SW11433PB PRJERSEY 17523FJRPLVR17WH - LAS VEGARTS RAIDERS JERSEY PRINT DAVANTE ADAMS WHITE PROOF 17.5x23,SW11433PB,197-3,17.5x23
32877,54139,426167,PRJERSEY,1218FJRPLVR89BK,SW11434PA PRJERSEY 1218FJRPLVR89BK - LAS VEGAS RAIDERS JERSEY PRINT BROCK BOWERS BLACK PROOF 12x18,SW11434PA,197-2,12x18
32877,54139,428636,PRJERSEY,17523FJRPLVR89BK,SW11434PB PRJERSEY 17523FJRPLVR89BK - LAS VEGAS RAIDERS JERSEY PRINT BROCK BOWERS BLACK PROOF 17.5x23,SW11434PB,197-3,17.5x23
32877,54139,426168,PRJERSEY,1218FJRPLVR89WH,SW11435PA PRJERSEY 1218FJRPLVR89WH - LAS VEGAS RAIDERS JERSEY PRINT BROCK BOWERS WHITE PROOF 12x18,SW11435PA,197-2,12x18
32877,54139,428637,PRJERSEY,17523FJRPLVR89WH,SW11435PB PRJERSEY 17523FJRPLVR89WH - LAS VEGAS RAIDERS JERSEY PRINT BROCK BOWERS WHITE PROOF 17.5x23,SW11435PB,197-3,17.5x23
32877,54139,426169,PRJERSEY,1218FJRPLVR8BK,SW11436PA PRJERSEY 1218FJRPLVR8BK - LAS VEGAS RAIDERS JERSEY PRINT JOSH JACOBS BLACK PROOF 12x18,SW11436PA,197-2,12x18
32877,54139,428638,PRJERSEY,17523FJRPLVR8BK,SW11436PB PRJERSEY 17523FJRPLVR8BK - LAS VEGAS RAIDERS JERSEY JOSH JACOBS BLACK PROOF 17.5x23,SW11436PB,197-3,17.5x23
32877,54139,426170,PRJERSEY,1218FJRPLVR98BK,SW11437PA PRJERSEY 1218FJRPLVR98BK - LAS VEGARTS RAIDERS JERSEY PRINT MAXX CROSBY BLACK PROOF 12x18,SW11437PA,197-2,12x18
32877,54139,428639,PRJERSEY,17523FJRPLVR98BK,SW11437PB PRJERSEY 17523FJRPLVR98BK - LAS VEGARTS RAIDERS JERSEY PRINT MAXX CROSBY BLACK PROOF 17.5x23,SW11437PB,197-3,17.5x23
32877,54139,426171,PRJERSEY,1218FJRPMB22WH,SW11438PA PRJERSEY 1218FJRPMB22WH - MILWAUKEE BREWERS JERSEY PRINT CHRISTIAN YELICH WHITE PROOF 12x18,SW11438PA,197-2,12x18
32877,54139,428640,PRJERSEY,17523FJRPMB22WH,SW11438PB PRJERSEY 17523FJRPMB22WH - MILWAUKEE BREWERS JERSEY PRINT CHRISTIAN YELICH WHITE PROOF 17.5x23,SW11438PB,197-3,17.5x23
32877,54139,426172,PRJERSEY,1218FJRPMB34GR,SW11439PA PRJERSEY 1218FJRPMB34GR - MILWAUKEE BUCKS JERSEY PRINT GIANNIS ANTETOKOUNMPO GREEN PROOF 12x18,SW11439PA,197-2,12x18
32877,54139,428641,PRJERSEY,17523FJRPMB34GR,SW11439PB PRJERSEY 17523FJRPMB34GR - MILWAUKEE BUCKS JERSEY PRINT GIANNIS ANTETOKOUNMPO GREEN PROOF 17.5x23,SW11439PB,197-3,17.5x23
32877,54139,426173,PRJERSEY,1218FJRPMB34WH,SW11440PA PRJERSEY 1218FJRPMB34WH - MILWAUKEE BUCKS JERSEY PRINT GIANNIS ANTETEKUMPO WHITE PROOF 12x18,SW11440PA,197-2,12x18
32877,54139,428642,PRJERSEY,17523FJRPMB34WH,SW11440PB PRJERSEY 17523FJRPMB34WH - MILWAUKEE BUCKS JERSEY PRINT GIANNIS ANTETEKUMPO WHITE PROOF 17.5x23,SW11440PB,197-3,17.5x23
32877,54139,426174,PRJERSEY,1218FJRPMIA10BL,SW11441PA PRJERSEY 1218FJRPMIA10BL - MIAMI DOLPHINS JERSEY PRINT TYREEK HILL BLUE PROOF 12x18,SW11441PA,197-2,12x18
32877,54139,428643,PRJERSEY,17523FJRPMIA10BL,SW11441PB PRJERSEY 17523FJRPMIA10BL - MIAMI DOLPHINS JERSEY PRINT TYREEK HILL BLUE PROOF 17.5x23,SW11441PB,197-3,17.5x23
32877,54139,426175,PRJERSEY,1218FJRPMIA10WH,SW11442PA PRJERSEY 1218FJRPMIA10WH - MIAMI DOLPHINS JERSEY PRINT TYREEK HILL WHITE PROOF 12x18,SW11442PA,197-2,12x18
32877,54139,428644,PRJERSEY,17523FJRPMIA10WH,SW11442PB PRJERSEY 17523FJRPMIA10WH - MIAMI DOLPHINS JERSEY PRINT TYREEK HILL WHITE PROOF 17.5x23,SW11442PB,197-3,17.5x23
